dataset,localization_method,reduction_method,ac@2,ac@5,avg@5,elapsed_time_sum,bacc,recall,mcc,specificity,f1_score
SS-small,CG+PageRank,FluxInfer-AD,0.025,0.028333312500000003,0.028375,0.3068625,0.566025440370781,1.0,-0.26699421291622416,0.13205088074156177,0.03562430906484166
SS-small,CG+PageRank,HDBS-R,0.025,0.033333312500000004,0.0216666875,0.3524273125,0.4411323088366206,0.42500000000000004,-0.02888194442917299,0.4572646176732411,0.02367121848739493
SS-small,CG+PageRank,HDBS-SBD,0.03125,0.0408333125,0.029625,0.33064662499999997,0.44081759908803914,0.425,-0.029140822691501932,0.45663519817607817,0.023650793650793624
SS-small,CG+PageRank,K-S test,0.025,0.029166625,0.0266666875,0.29391962499999996,0.566025440370781,1.0,-0.26699421291622416,0.13205088074156177,0.03562430906484166
SS-small,CG+PageRank,MetricSifter,0.08229166666666667,0.0789815,0.078388875,0.2959189375,0.6608162206070107,0.975,0.08806028662135108,0.34663244121402137,0.050542624998951825
SS-small,CG+PageRank,NSigma,0.0375,0.0391666875,0.0405416875,0.27694706249999995,0.5594665537954314,0.9875,-0.01933684957815473,0.1314331075908628,0.03480935381187379
SS-small,CG+PageRank,None,0.037500000000000006,0.0216666875,0.0264166875,0.3658340625,0.5,1.0,-10.0,0.0,0.030567951182886167
SS-small,LiNGAM+HT,BIRCH,0.1625,0.1524999375,0.1629999375,26.1109453125,0.5797477783039272,1.0,0.052817693836471565,0.15949555660785442,0.03671740779024018
SS-small,LiNGAM+HT,FluxInfer-AD,0.19375,0.1691666875,0.18633331250000001,29.0858920625,0.566025440370781,1.0,-0.26699421291622416,0.13205088074156177,0.03562430906484166
SS-small,LiNGAM+HT,HDBS-R,0.15,0.1016666875,0.1370000625,7.1242565625,0.4411323088366206,0.42500000000000004,-0.02888194442917299,0.4572646176732411,0.02367121848739493
SS-small,LiNGAM+HT,HDBS-SBD,0.125,0.092500125,0.1237083125,7.064472125,0.44081759908803914,0.425,-0.029140822691501932,0.45663519817607817,0.023650793650793624
SS-small,LiNGAM+HT,K-S test,0.2,0.1741666875,0.192749875,28.98380225,0.566025440370781,1.0,-0.26699421291622416,0.13205088074156177,0.03562430906484166
SS-small,LiNGAM+HT,MetricSifter,0.18003472916666666,0.1613194375,0.1828078333333333,14.3840009375,0.6608162206070107,0.975,0.08806028662135108,0.34663244121402137,0.050542624998951825
